Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"I","Calcinhas",5528600,"20003_M_PRETO","",50,"Calcinha em microfibra lisa, linda e confortável.","","",False,1,1,True,0,10.9,10.9,0,0,0,,,False,False,"","","","132246","","","","","","65687",0,5521175,,"",,,0,,"","",6,6,,True,False,0,0,0,"","1602","CALCINHA LPA3_20003_M_PRETO","calcinha-star-47402591","","",""
"I","Calcinhas",5528602,"20003_M_BRANCO","",50,"Calcinha em microfibra lisa, linda e confortável.","","",False,1,1,True,0,10.9,10.9,0,0,0,,,False,False,"","","","132246","","","","","","65688",0,5521175,,"",,,0,,"","",6,6,,True,False,0,0,0,"","1602","CALCINHA LPA3_20003_M_BRANCO","calcinha-star-98821657","","",""
"I","Calcinhas",5528629,"20002_G_ROSA","",50,"Versátil,delicada e veste muito bem e pode ser usada em todas as situações.","","",False,1,1,True,0,11.9,11.9,0,0,0,,,False,False,"","","","132247","","","","","","65972",0,5521161,,"",,,0,,"","",6,6,,True,False,0,0,0,"","47","CALCINHA LPA2_20002_G_ROSA","calcinha-flowers-76668948","","",""
"I","Calcinhas",5528632,"20002_M_VERMELH","",50,"Versátil,delicada e veste muito bem e pode ser usada em todas as situações.","","",False,1,1,True,0,11.9,11.9,0,0,0,,,False,False,"","","","132246","","","","","","65691",0,5521161,,"",,,0,,"","",6,6,,True,False,0,0,0,"","47","CALCINHA LPA2_20002_M_VERMELHO","calcinha-flowers-52714175","","",""
"I","Calcinhas",5530459,"20001_P_AZUL","",50,"Calcinha em microfibra lisa com detalhe em renda, linda e ideal para o dia a dia.","","",False,1,1,True,0,10.9,10.9,0,0,0,,,False,False,"","","","132245","","","","","","65686",0,5521160,,"",,,0,,"","",6,6,,True,False,0,0,0,"","A193","CALCINHA LPA1_20001_P_AZUL","calcinha-happy-620670","","",""
"I","Calcinhas",5530460,"20001_M_VERMELH","",50,"Calcinha em microfibra lisa com detalhe em renda, linda e ideal para o dia a dia.
","","",False,1,1,True,0,10.9,10.9,0,0,0,,,False,False,"","","","132246","","","","","","65691",0,5521160,,"",,,0,,"","",6,6,,True,False,0,0,0,"","A193","CALCINHA LPA1_20001_M_VERMELH","calcinha-happy-27184695","","",""
"I","Calcinhas",5530461,"20001_P_ROXO","",50,"Calcinha em microfibra lisa com detalhe em renda, linda e ideal para o dia a dia.","","",False,1,1,True,0,10.9,10.9,0,0,0,,,False,False,"","","","132245","","","","","","65972",0,5521160,,"",,,0,,"","",6,6,,True,False,0,0,0,"","A193","CALCINHA LPA1_20001_P_ROXO","calcinha-happy-47492617","","",""
"I","Calcinhas",5530463,"20001_M_AMARELO","",50,"Calcinha em microfibra lisa com detalhe em renda, linda e ideal para o dia a dia.","","",False,1,1,True,0,10.9,10.9,0,0,0,,,False,False,"","","","132246","","","","","","65971",0,5521160,,"",,,0,,"","",6,6,,True,False,0,0,0,"","A193","CALCINHA LPA1_20001_M_AMARELO","calcinha-happy-5366153","","",""
"I","Calcinhas",5530465,"20004_M_BRANCO","",50,"Calcinha modeladora de cotton com renda e super confortável!","","",False,1,1,True,0,19.99,19.99,0,0,0,,,False,False,"","","","132246","","","","","","65688",0,5530464,,"",,,0,,"","",6,6,,True,False,0,0,0,"","D44","CALCINHA LPA4_20004_M_BRANCO","calcinha-draw-73478335","","",""
"I","Calcinhas",5530466,"20004_G_ROSA","",50,"Calcinha modeladora de cotton com renda e super confortável!","","",False,1,1,True,0,19.99,19.99,0,0,0,,,False,False,"","","","132247","","","","","","65972",0,5530464,,"",,,0,,"","",6,6,,True,False,0,0,0,"","D44","CALCINHA LPA4_20004_G_ROSA","calcinha-draw-25602359","","",""
"I","Calcinhas",5530467,"20004_G_BRANCO","",50,"Calcinha modeladora de cotton com renda e super confortável","","",False,1,1,True,0,19.99,19.99,0,0,0,,,False,False,"","","","132247","","","","","","65688",0,5530464,,"",,,0,,"","",6,6,,True,False,0,0,0,"","D44","CALCINHA LPA4_20004_G_BRANCO","calcinha-draw-67577761","","",""
"I","Calcinhas",5530495,"20005_GG_VERDE","",50,"Calcinha em microfibra lisa com detalhe em renda nas laterais, Linda e confortável!","","",False,1,1,True,0,12.2,12.2,0,0,0,,,False,False,"","","","132248","","","","","","65689",0,5530493,,"",,,0,,"","",6,6,,True,False,0,0,0,"","D42","CALCINHA LPA5_20005_GG_VERDE","calcinha-tie-58942813","","",""
"I","Calcinhas",5530496,"20005_M_BRANCO","",50,"Calcinha em microfibra lisa com detalhe em renda nas laterais, Linda e confortável!","","",False,1,1,True,0,12.2,12.2,0,0,0,,,False,False,"","","","132246","","","","","","65688",0,5530493,,"",,,0,,"","",6,6,,True,False,0,0,0,"","D42","CALCINHA LPA5_20005_M_BRANCO","calcinha-tie-3278751","","",""
"I","Calcinhas",5530497,"20005_G_BRANCO","",50,"Calcinha em microfibra lisa com detalhe em renda nas laterais, Linda e confortável!","","",False,1,1,True,0,12.2,12.2,0,0,0,,,False,False,"","","","132247","","","","","","65688",0,5530493,,"",,,0,,"","",6,6,,True,False,0,0,0,"","D42","CALCINHA LPA5_20005_G_BRANCO","calcinha-tie-33674258","","",""
"I","Calcinhas",5530499,"20005_GG_BRANCO","",50,"Calcinha em microfibra lisa com detalhe em renda nas laterais, Linda e confortável!","","",False,1,1,True,0,12.2,12.2,0,0,0,,,False,False,"","","","132248","","","","","","65688",0,5530493,,"",,,0,,"","",6,6,,True,False,0,0,0,"","D42","CALSINHA LPA5_20005_GG_BRANCO","calcinha-tie-32435244","","",""
"I","Calcinhas",5530502,"20006_M_VERMEHO","",50,"Calcinha em microfibra lisa e renda, macia e confortável.","","",False,1,1,True,0,11.9,11.9,0,0,0,,,False,False,"","","","132246","","","","","","65691",0,5530500,,"",,,0,,"","",6,6,,True,False,0,0,0,"","M125","CALCINHA LPA6_20006_M_VERMEHO","calcinha-sun-98675173","","",""
"I","Calcinhas",5530504,"20006_M_BRANCO","",50,"Calcinha em microfibra lisa e renda, macia e confortável.","","",False,1,1,True,0,11.9,11.9,0,0,0,,,False,False,"","","","132246","","","","","","65688",0,5530500,,"",,,0,,"","",6,6,,True,False,0,0,0,"","M125","CALCINHA LPA6_20006_M_BRANCO","calcinha-sun-68551272","","",""
"I","Calcinhas",5530505,"20006_G_BRANCO","",50,"Calcinha em microfibra lisa e renda, macia e confortável.","","",False,1,1,True,0,11.9,11.9,0,0,0,,,False,False,"","","","132247","","","","","","65688",0,5530500,,"",,,0,,"","",6,6,,True,False,0,0,0,"","M125","CALCINHA LPA6_20006_G_BRANCO","calcinha-sun-55479068","","",""
"I","Calcinhas",5530506,"20006_P_PRETO","",50,"Calcinha em microfibra lisa e renda, macia e confortável.","","",False,1,1,True,0,11.9,11.9,0,0,0,,,False,False,"","","","132245","","","","","","65687",0,5530500,,"",,,0,,"","",6,6,,True,False,0,0,0,"","M125","CALCINHA LPA6_20006_P_PRETO","calcinha-sun-32706851","","",""
"I","Calcinhas",5530507,"20006_M_PRETO","",50,"Calcinha em microfibra lisa e renda, macia e confortável.","","",False,1,1,True,0,11.9,11.9,0,0,0,,,False,False,"","","","132246","","","","","","65687",0,5530500,,"",,,0,,"","",6,6,,True,False,0,0,0,"","M125","CALCINHA LPA6_20006_M_PRETO","calcinha-sun-8251590","","",""
"I","Calcinhas",5533998,"20007_P_VERMELH","",50,"Calcinha em microfibra e renda, linda e delicada, perfeita para todas as ocasiões.","","",False,2,1,True,0,9.99,9.99,0,0,0,,,False,False,"","","","132245","","","","","","65691",0,5533997,,"",,,0,,"","",6,6,,True,False,0,0,0,"","A170 ","CALCINHA LPA7_20007_P_VERMELH","lpa7-50986880","","",""
